keys,freq,word1,word2
"""mis workouts""",2,mis,workouts
"""mini heart""",2,mini,heart
"""el gate""",2,el,gate
"""el popcorn""",2,el,popcorn
"""no hahaha""",2,no,hahaha
"""una fucking""",2,una,fucking
"""un stunt""",2,un,stunt
"""otro tweet""",2,otro,tweet
"""pal cuddle""",2,pal,cuddle
"""que nice""",2,que,nice
"""y maybe""",2,y,maybe
"""esta on""",2,esta,on
"""en fucking""",2,en,fucking
"""mira bye""",2,mira,bye
"""es baby""",2,es,baby
"""un snack""",2,un,snack
"""tu snack""",2,tu,snack
"""pal concert""",2,pal,concert
"""ahh ok""",2,ahh,ok
"""los text""",2,los,text
"""la beach""",2,la,beach
"""siempre baby""",2,siempre,baby
"""llevo full""",2,llevo,full
"""subir zomber""",2,subir,zomber
"""un zomber""",2,un,zomber
"""una zomber""",2,una,zomber
"""eres zomber""",2,eres,zomber
"""señorita zomber""",2,señorita,zomber
"""y kronno""",2,y,kronno
"""el bug""",2,el,bug
"""el roadtrip""",2,el,roadtrip
"""un fucking""",2,un,fucking
"""los ok""",2,los,ok
"""tremendo prom""",2,tremendo,prom
"""c i""",2,c,i
"""bien crazy""",2,bien,crazy
"""los guys""",2,los,guys
"""to 'o""",2,to,'o
"""orale i""",2,orale,i
"""vida lol""",2,vida,lol
"""ella lol""",2,ella,lol
"""la mom""",2,la,mom
"""feo lol""",2,feo,lol
"""osea hello""",2,osea,hello
"""como you""",2,como,you
"""aya lol""",2,aya,lol
"""que what""",2,que,what
"""to 'os""",2,to,'os
"""fe salad""",2,fe,salad
"""creas lol""",2,creas,lol
"""enserio i""",2,enserio,i
"""es compared""",2,es,compared
"""favorece that""",2,favorece,that
"""deprimido my""",2,deprimido,my
"""difícil person""",2,difícil,person
"""como i""",2,como,i
"""es shade""",2,es,shade
