keys,freq,word1,word2
"""we want""",19,we,want
"""mere father""",19,mere,father
"""hai media""",19,hai,media
"""din k""",19,din,k
"""un ki""",19,un,ki
"""sab log""",19,sab,log
"""k ye""",19,k,ye
"""hai because""",19,hai,because
"""ban k""",19,ban,k
"""we will""",19,we,will
"""ki tarah""",19,ki,tarah
"""ka media""",18,ka,media
"""india pe""",18,india,pe
"""log he""",18,log,he
"""ko hospital""",18,ko,hospital
"""mere area""",18,mere,area
"""ata h""",18,ata,h
"""hai btw""",18,hai,btw
"""bhi terrorist""",18,bhi,terrorist
"""nhi skta""",18,nhi,skta
"""ko rape""",18,ko,rape
"""me b""",18,me,b
"""ka agent""",18,ka,agent
"""ho gay""",18,ho,gay
"""may be""",18,may,be
"""i know""",18,i,know
"""ye sub""",18,ye,sub
"""hai tou""",18,hai,tou
"""hai sb""",18,hai,sb
"""all the""",18,all,the
"""aj tk""",18,aj,tk
"""hai happy""",18,hai,happy
"""ka issue""",18,ka,issue
"""hi level""",18,hi,level
"""pata h""",18,pata,h
"""ye pic""",18,ye,pic
"""to main""",18,to,main
"""de please""",18,de,please
"""he be""",18,he,be
"""raha he""",18,raha,he
"""ki army""",18,ki,army
"""pta h""",18,pta,h
"""ji ke""",18,ji,ke
"""tum indians""",18,tum,indians
"""hain k""",18,hain,k
"""hum ny""",18,hum,ny
"""kro to""",18,kro,to
"""ko divide""",18,ko,divide
"""hindu majority""",18,hindu,majority
"""se brides""",18,se,brides
"""or ab""",18,or,ab
"""ke tweets""",18,ke,tweets
"""se b""",18,se,b
"""party ka""",18,party,ka
"""hai no""",18,hai,no
"""agr ap""",17,agr,ap
"""tha na""",17,tha,na
"""khan ny""",17,khan,ny
"""you all""",17,you,all
"""to bus""",17,to,bus
"""amarnath yatra""",17,amarnath,yatra
"""ga q""",17,ga,q
"""fake video""",17,fake,video
"""toh block""",17,toh,block
"""de or""",17,de,or
"""k apny""",17,k,apny
"""ye sb""",17,ye,sb
"""ho use""",17,ho,use
"""ab balochistan""",17,ab,balochistan
"""india main""",17,india,main
"""se army""",17,se,army
"""tha us""",17,tha,us
"""maar k""",17,maar,k
"""to sare""",17,to,sare
"""ke school""",17,ke,school
"""ki insult""",17,ki,insult
"""apni govt""",17,apni,govt
"""le or""",17,le,or
"""tumhari govt""",17,tumhari,govt
"""di he""",17,di,he
"""ye movie""",17,ye,movie
"""k imran""",17,k,imran
"""ke prime""",17,ke,prime
"""se school""",17,se,school
"""ye last""",17,ye,last
"""hain to""",17,hain,to
"""mehmood qureshi""",17,mehmood,qureshi
"""pml n""",17,pml,n
"""kr de""",17,kr,de
"""ki policy""",17,ki,policy
"""hum sb""",17,hum,sb
"""bolte he""",17,bolte,he
"""ka account""",17,ka,account
"""love you""",17,love,you
"""lo or""",17,lo,or
"""congress ki""",17,congress,ki
"""do or""",17,do,or
"""log mar""",17,log,mar
"""ki tweets""",17,ki,tweets
"""hui to""",17,hui,to
"""ye govt""",17,ye,govt
"""hai our""",17,hai,our
"""ka show""",17,ka,show
"""is video""",17,is,video
"""hai bc""",17,hai,bc
"""no one""",17,no,one
"""mar rahy""",17,mar,rahy
"""or jo""",17,or,jo
"""to ye""",17,to,ye
"""kr skta""",17,kr,skta
"""hai aur""",17,hai,aur
"""jo govt""",17,jo,govt
"""hai koi""",17,hai,koi
"""k wo""",17,k,wo
"""pakistani or""",17,pakistani,or
"""rahim singh""",17,rahim,singh
"""es video""",17,es,video
"""me modi""",16,me,modi
"""congress ne""",16,congress,ne
"""hai ap""",16,hai,ap
"""ko govt""",16,ko,govt
"""us ny""",16,us,ny
"""mere tweet""",16,mere,tweet
"""aur es""",16,aur,es
"""hain but""",16,hain,but
"""ke to""",16,ke,to
"""chor do""",16,chor,do
"""kar skte""",16,kar,skte
"""or ye""",16,or,ye
"""love jihad""",16,love,jihad
"""har state""",16,har,state
"""k ap""",16,k,ap
"""ho please""",16,ho,please
"""karain gy""",16,karain,gy
"""tha ki""",16,tha,ki
"""acha to""",16,acha,to
"""ji and""",16,ji,and
"""ek state""",16,ek,state
"""ye trend""",16,ye,trend
"""ke l""",16,ke,l
"""kal k""",16,kal,k
"""kr dia""",16,kr,dia
"""kar skta""",16,kar,skta
"""logon ny""",16,logon,ny
"""prime minister""",16,prime,minister
"""krta h""",16,krta,h
"""ke leaders""",16,ke,leaders
"""to sonia""",16,to,sonia
"""black day""",16,black,day
"""ata farma""",16,ata,farma
"""ne indian""",16,ne,indian
"""ka no""",16,ka,no
"""hai enjoy""",16,hai,enjoy
"""sirf social""",16,sirf,social
"""ke lode""",16,ke,lode
"""k lye""",16,k,lye
"""time to""",16,time,to
"""hamid mir""",16,hamid,mir
"""thank u""",16,thank,u
"""hai for""",16,hai,for
"""ke log""",16,ke,log
"""krna h""",16,krna,h
"""he please""",16,he,please
"""kia to""",16,kia,to
"""par attack""",16,par,attack
"""eid per""",16,eid,per
"""pakistani media""",16,pakistani,media
"""to or""",16,to,or
"""ab sonia""",16,ab,sonia
"""congress ke""",16,congress,ke
"""k us""",16,k,us
"""gya h""",16,gya,h
"""ker k""",16,ker,k
"""me is""",16,me,is
"""kon c""",16,kon,c
"""my dear""",16,my,dear
"""ke ye""",16,ke,ye
"""hua to""",16,hua,to
"""congress k""",16,congress,k
"""ki he""",16,ki,he
"""hai this""",16,hai,this
"""apne parents""",16,apne,parents
"""pura pakistan""",16,pura,pakistan
"""army aur""",16,army,aur
"""kashmiri girls""",16,kashmiri,girls
"""ja kr""",16,ja,kr
"""congress ka""",16,congress,ka
"""bhai is""",16,bhai,is
"""gya hy""",16,gya,hy
"""abi b""",16,abi,b
"""use kr""",16,use,kr
"""to modi""",16,to,modi
"""ka is""",16,ka,is
"""k army""",16,k,army
"""ni hony""",16,ni,hony
"""krwa k""",16,krwa,k
"""he but""",16,he,but
"""ho and""",16,ho,and
"""hindi news""",16,hindi,news
"""ni joshua""",16,ni,joshua
"""kaomiya iwant""",16,kaomiya,iwant
"""to hum""",15,to,hum
"""ab es""",15,ab,es
"""se a""",15,se,a
"""to log""",15,to,log
