keys,word1,word2,Tweets
"""la has""",la,has,courage bagels in la has me reevaluating everything i thought i knew about food.
"""la has""",la,has, i thought the vax was highly effective until now. la has 68% with at least one dose and it’s still not enough to keep us from going backwards?
"""la has""",la,has,columbus and toronto have tweeted.  apparently la has acknowledged it too but i haven’t seen it.
"""la has""",la,has, in irvine it sounded  like a freaking war zone !  serious air and sound pollution.   i say ban them in the oc like la has done
"""la has""",la,has,very true. i wonder if someone could look into whether the tx dem stunt  which almost infected ka-ma-la  has led to the billions of dollars of wealth being vaporized today on wall st based on !covid resurgence! fears. 
"""la has""",la,has," dooooood.   you haven't experienced the 91 or the 101 then.  i mean, period.  in rush hour la to temecula is 4-6 hours.  just getting from downtown to la live is like 2.5 hours.  inside the us la has hands down the worst traffic i've ever experienced on the regular."
"""la has""",la,has, naw skip bayless said starting today la has one
"""la has""",la,has,sitting in la traffic  been to every big city on the west coast and spokane's traffic is still the worst.  la has a lot of people but they're all going somewhere. five-under doesn't exist down here. spokane is full of clueless morons.
"""la has""",la,has,la has a new mask mandate? damn
"""la has""",la,has,lol in almost decade of geospatial work how have i missed what a weird city boundary la has... 
"""no words""",no,words,i have no words 
"""no words""",no,words,"note that the white house didn't say they wanted to censor disinformation. they said misinformation. those are different things. i oppose censoring either, but rest assured, no words are being misspoken.  the us is a fascist state."
"""no words""",no,words,just because  no words needed have yourselves a sunny tuesday everyone  
"""no words""",no,words,  no words 
"""no words""",no,words,   the vibe is so craizy guys love it !! bt u can laugh hillary ehhhh ate for u khuna mmm no words for u!! ur another one! love u guys!!!
"""no words""",no,words,just finished rule of wolves and…  … i mean … no words   it was incredible    
"""no words""",no,words, their is difference between hating and cursing and what i've observed sab kuch sadistic pleasure ban gaya hai   tweet of show going offair would be the revenge for aurra etc it just is so i've no words just one request you don't like the show then just stay happy with you enjoy
"""no words""",no,words,no words to describe the   sir 
"""no words""",no,words,i don't need no words to say  'i love you'
"""no words""",no,words,i met rosé park on my trip to south korea and i took a selfie with her. she smiled so brightly at me and thanked me for supporting her. no words can describe how much i'm lying.
